('NCZ, 5.21')
('NDLS, 8.90')
('NDRA, 2.2300')
('NDRAW, 0.1767')
('NEBCW, 2.5000')
('NEON, 8.56')
('NEOS, 0.9345')
('NEPH, 7.90')
('NEPT, 2.3400')
('NERV, 3.4000')
('NESRW, 0.7800')
('NEW, 7.29')
('NEWA, 3.6700')
('NEX, 3.8500')
('NEXA, 9.64')
('NEXT, 2.4200')
('NFH, 8.90')
('NGACW, 1.9900')
('NGL, 2.7200')
('NGS, 9.33')
('NH, 4.6300')
('NHA, 9.86')
('NHICW, 1.8499')
('NHLD, 3.2500')
('NHLDW, 0.1003')
('NHTC, 6.62')
('NINE, 2.9200')
('NL, 4.8200')
('NLSP, 3.0600')
('NLSPW, 0.7700')
('NLY, 8.47')
('NM, 4.8000')
('NMCI, 6.69')
('NMMCW, 1.8100')
('NMR, 5.67')
('NMRK, 8.05')
('NMTR, 1.8100')
('NNA, 3.6600')
('NNBR, 7.09')
('NOA, 9.23')
('NOACW, 1.9500')
('NOK, 4.3300')
('NOVN, 1.5186')
('NOVSW, 9.42')
('NPAWW, 1.01')
('NR, 2.8000')
('NRBO, 5.36')
('NRGX, 9.00')
('NRT, 4.1000')
('NSCO, 8.09')
('NSL, 5.56')
('NSYS, 8.36')
('NTEC, 5.12')
('NTP, 8.87')
('NTWK, 4.5000')
('NURO, 4.1300')
('NUZE, 8.32')
('NVCN, 1.3700')
('NVFY, 3.1600')
('NVGS, 9.45')
('NVIV, 1.4740')
('NWG, 4.5700')
('NWHM, 5.53')
('NXTD, 1.6300')
('NYC, 9.99')
('NYMT, 4.0300')
('NYMX, 3.0300')
('OBLN, 4.4000')
('OBSV, 3.9000')
('OCC, 3.5800')
('OCG, 4.7960')
('OCGN, 9.28')
('OCSI, 8.24')
('OCSL, 6.01')
('OEG, 8.84')
('OFS, 7.42')
('OGI, 2.5400')
('OIA, 8.00')
('OII, 9.85')
('OIIM, 9.50')
('OIS, 6.42')
('OLB, 6.09')
('OMEX, 7.95')
('ONCS, 7.38')
('ONCT, 6.80')
('ONCY, 2.7500')
('ONE, 3.9900')
('ONTX, 0.9400')
('ONTXW, 0.2300')
('OPBK, 8.35')
